AuthID,First Name,Last Name,Birthday,Country of Residence,Hrs Writing per Day
AS443,Abraham,Stackhouse,2147-07-01,Norway,6
AW980,Amelia,"Wangerin, Jr.",2141-03-26,New Zealand,16
AI923,Anastasia,Inez,2148-03-30,New Zealand,11
AM329,Arthur,McCrumb,2148-03-13,New Zealand,3
AH957,Arturo,Hijuelos,2129-01-09,United Kingdom,8
BH149,Bernard,Hopf,2122-11-27,United States,1
BT132,Bianca,Thompson,2150-01-28,United States,5
BL857,Bravig,Lewisohn,2238-01-21,United States,11
BM856,Burton,Malamud,2145-01-18,Brazil,6
CS190,Carolyn,Segal,2133-09-24,United States,7
CF829,Charles,Fenimore,2120-03-18,Norway,7
CW626,Clifford,Wolitzer,2143-08-01,United Kingdom,8
DF413,Darryl,Fleischman,2131-12-07,Germany,16
DB605,David,Beam,2157-02-26,United States,5.13
EH487,Elizabeth,Herbach,2157-01-22,New Zealand,0
EK605,Elmer,Komroff,2129-07-11,Norway,6
GG800,Gloria,Green,2156-09-19,Hong Kong,8
GH671,Grace,Harrison,2161-04-08,United States,6
HM751,Hamlin,Myrer,2225-01-29,Brazil,9
HB302,Hillary,Barnhardt,2154-03-07,New Zealand,4
JH502,Jill,Hergesheimer,2156-06-15,Canada,8
JS525,John W.,Spanogle,2149-08-10,United Kingdom,10
JK592,Jonathan,Kotzwinkle,2151-02-03,Germany,6
KY296,Kathy,Yglesias,2151-04-03,Brazil,8
KD840,Kenneth,Douglas,2163-09-24,South Africa,3
KE397,Kris,Elegant,2149-08-26,Hong Kong,5
LL585,Langston,Lippman,2147-10-02,New Zealand,0
LN356,Leonard,Nabokov,2169-09-29,United States,1
LK915,Lori,Kaan,2147-03-27,China,6
LD375,Lynne,Danticat,2155-08-19,New Zealand,8
MW974,Malin,Wolff,2141-01-31,Hong Kong,6
OL640,Oliver,Lowry,2155-08-29,Netherlands,4
PH273,Patricia,Hazzard,2146-04-27,Singapore,5
PA878,Philip,Antrim,2148-04-22,Netherlands,7
PB147,Phoebe,Brown,2149-08-21,Hong Kong,13
RL217,R.M.,Larner,2130-03-26,China,9
RM781,Robert,Milofsky,2157-01-12,United States,10
RP438,Robert,Plimpton,2160-11-11,Canada,13
UK129,Ursula,Karénine,2156-02-25,United Kingdom,9
WH901,Ward,Haigh,2153-10-07,Brazil,7
WB149,Wendell,Barton,2138-10-25,United States,2
